Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RC11-83,,,,8.79,8.79,,,,,,8.79,depth model from Jonkers et al. 2020,
RC11-83,,,,8.87,8.87,,,,,,8.87,depth model from Jonkers et al. 2020,
RC11-83,,,,8.92,8.92,,,,,,8.92,depth model from Jonkers et al. 2020,
RC11-83,,,,9.08,9.08,,,,,,9.08,depth model from Jonkers et al. 2020,
RC11-83,,,,9.11,9.11,,,,,,9.11,depth model from Jonkers et al. 2020,
RC11-83,,,,9.16,9.16,,,,,,9.16,depth model from Jonkers et al. 2020,
RC11-83,,,,9.19,9.19,,,,,,9.19,depth model from Jonkers et al. 2020,
RC11-83,,,,9.24,9.24,,,,,,9.24,depth model from Jonkers et al. 2020,
RC11-83,,,,9.27,9.27,,,,,,9.27,depth model from Jonkers et al. 2020,
RC11-83,,,,9.32,9.32,,,,,,9.32,depth model from Jonkers et al. 2020,
RC11-83,,,,9.35,9.35,,,,,,9.35,depth model from Jonkers et al. 2020,
RC11-83,,,,9.4,9.4,,,,,,9.4,depth model from Jonkers et al. 2020,
RC11-83,,,,9.43,9.43,,,,,,9.43,depth model from Jonkers et al. 2020,
RC11-83,,,,9.48,9.48,,,,,,9.48,depth model from Jonkers et al. 2020,
RC11-83,,,,9.51,9.51,,,,,,9.51,depth model from Jonkers et al. 2020,
RC11-83,,,,9.56,9.56,,,,,,9.56,depth model from Jonkers et al. 2020,
RC11-83,,,,9.59,9.59,,,,,,9.59,depth model from Jonkers et al. 2020,
RC11-83,,,,9.64,9.64,,,,,,9.64,depth model from Jonkers et al. 2020,
RC11-83,,,,9.67,9.67,,,,,,9.67,depth model from Jonkers et al. 2020,
RC11-83,,,,9.72,9.72,,,,,,9.72,depth model from Jonkers et al. 2020,
RC11-83,,,,9.75,9.75,,,,,,9.75,depth model from Jonkers et al. 2020,
RC11-83,,,,9.8,9.8,,,,,,9.8,depth model from Jonkers et al. 2020,
RC11-83,,,,9.83,9.83,,,,,,9.83,depth model from Jonkers et al. 2020,
RC11-83,,,,9.88,9.88,,,,,,9.88,depth model from Jonkers et al. 2020,
RC11-83,,,,9.91,9.91,,,,,,9.91,depth model from Jonkers et al. 2020,
RC11-83,,,,9.99,9.99,,,,,,9.99,depth model from Jonkers et al. 2020,
RC11-83,,,,10.04,10.04,,,,,,10.04,depth model from Jonkers et al. 2020,
RC11-83,,,,10.07,10.07,,,,,,10.07,depth model from Jonkers et al. 2020,
RC11-83,,,,10.15,10.15,,,,,,10.15,depth model from Jonkers et al. 2020,
RC11-83,,,,10.2,10.2,,,,,,10.2,depth model from Jonkers et al. 2020,
RC11-83,,,,10.23,10.23,,,,,,10.23,depth model from Jonkers et al. 2020,
RC11-83,,,,10.31,10.31,,,,,,10.31,depth model from Jonkers et al. 2020,
RC11-83,,,,10.39,10.39,,,,,,10.39,depth model from Jonkers et al. 2020,
RC11-83,,,,10.47,10.47,,,,,,10.47,depth model from Jonkers et al. 2020,
RC11-83,,,,10.55,10.55,,,,,,10.55,depth model from Jonkers et al. 2020,
RC11-83,,,,10.63,10.63,,,,,,10.63,depth model from Jonkers et al. 2020,
RC11-83,,,,10.71,10.71,,,,,,10.71,depth model from Jonkers et al. 2020,
RC11-83,,,,10.79,10.79,,,,,,10.79,depth model from Jonkers et al. 2020,
RC11-83,,,,10.95,10.95,,,,,,10.95,depth model from Jonkers et al. 2020,
RC11-83,,,,11.03,11.03,,,,,,11.03,depth model from Jonkers et al. 2020,
RC11-83,,,,11.11,11.11,,,,,,11.11,depth model from Jonkers et al. 2020,
RC11-83,,,,11.19,11.19,,,,,,11.19,depth model from Jonkers et al. 2020,
RC11-83,,,,11.27,11.27,,,,,,11.27,depth model from Jonkers et al. 2020,
RC11-83,,,,11.35,11.35,,,,,,11.35,depth model from Jonkers et al. 2020,
RC11-83,,,,11.43,11.43,,,,,,11.43,depth model from Jonkers et al. 2020,
RC11-83,,,,11.51,11.51,,,,,,11.51,depth model from Jonkers et al. 2020,
RC11-83,,,,11.59,11.59,,,,,,11.59,depth model from Jonkers et al. 2020,
RC11-83,,,,11.75,11.75,,,,,,11.75,depth model from Jonkers et al. 2020,
RC11-83,,,,11.83,11.83,,,,,,11.83,depth model from Jonkers et al. 2020,
RC11-83,,,,11.91,11.91,,,,,,11.91,depth model from Jonkers et al. 2020,
RC11-83,,,,11.99,11.99,,,,,,11.99,depth model from Jonkers et al. 2020,
RC11-83,,,,12.07,12.07,,,,,,12.07,depth model from Jonkers et al. 2020,
RC11-83,,,,12.15,12.15,,,,,,12.15,depth model from Jonkers et al. 2020,
RC11-83,,,,12.23,12.23,,,,,,12.23,depth model from Jonkers et al. 2020,
RC11-83,,,,12.31,12.31,,,,,,12.31,depth model from Jonkers et al. 2020,
RC11-83,,,,12.39,12.39,,,,,,12.39,depth model from Jonkers et al. 2020,
RC11-83,,,,12.47,12.47,,,,,,12.47,depth model from Jonkers et al. 2020,
RC11-83,,,,12.55,12.55,,,,,,12.55,depth model from Jonkers et al. 2020,
RC11-83,,,,12.63,12.63,,,,,,12.63,depth model from Jonkers et al. 2020,
RC11-83,,,,12.71,12.71,,,,,,12.71,depth model from Jonkers et al. 2020,
RC11-83,,,,12.79,12.79,,,,,,12.79,depth model from Jonkers et al. 2020,
RC11-83,,,,12.87,12.87,,,,,,12.87,depth model from Jonkers et al. 2020,
RC11-83,,,,13.03,13.03,,,,,,13.03,depth model from Jonkers et al. 2020,
RC11-83,,,,13.11,13.11,,,,,,13.11,depth model from Jonkers et al. 2020,
RC11-83,,,,13.19,13.19,,,,,,13.19,depth model from Jonkers et al. 2020,
RC11-83,,,,13.27,13.27,,,,,,13.27,depth model from Jonkers et al. 2020,
RC11-83,,,,13.35,13.35,,,,,,13.35,depth model from Jonkers et al. 2020,
RC11-83,,,,13.43,13.43,,,,,,13.43,depth model from Jonkers et al. 2020,
RC11-83,,,,13.51,13.51,,,,,,13.51,depth model from Jonkers et al. 2020,
RC11-83,,,,13.67,13.67,,,,,,13.67,depth model from Jonkers et al. 2020,
RC11-83,,,,13.83,13.83,,,,,,13.83,depth model from Jonkers et al. 2020,
RC11-83,,,,13.91,13.91,,,,,,13.91,depth model from Jonkers et al. 2020,
RC11-83,,,,13.99,13.99,,,,,,13.99,depth model from Jonkers et al. 2020,
RC11-83,,,,14.07,14.07,,,,,,14.07,depth model from Jonkers et al. 2020,
RC11-83,,,,14.15,14.15,,,,,,14.15,depth model from Jonkers et al. 2020,
RC11-83,,,,14.23,14.23,,,,,,14.23,depth model from Jonkers et al. 2020,
RC11-83,,,,14.35,14.35,,,,,,14.35,depth model from Jonkers et al. 2020,
RC11-83,,,,14.43,14.43,,,,,,14.43,depth model from Jonkers et al. 2020,
RC11-83,,,,14.51,14.51,,,,,,14.51,depth model from Jonkers et al. 2020,
RC11-83,,,,14.59,14.59,,,,,,14.59,depth model from Jonkers et al. 2020,
RC11-83,,,,14.65,14.65,,,,,,14.65,depth model from Jonkers et al. 2020,
RC11-83,,,,14.74,14.74,,,,,,14.74,depth model from Jonkers et al. 2020,
RC11-83,,,,14.78,14.78,,,,,,14.78,depth model from Jonkers et al. 2020,
RC11-83,,,,14.81,14.81,,,,,,14.81,depth model from Jonkers et al. 2020,
RC11-83,,,,14.86,14.86,,,,,,14.86,depth model from Jonkers et al. 2020,
RC11-83,,,,14.94,14.94,,,,,,14.94,depth model from Jonkers et al. 2020,
RC11-83,,,,15.1,15.1,,,,,,15.1,depth model from Jonkers et al. 2020,
RC11-83,,,,15.14,15.14,,,,,,15.14,depth model from Jonkers et al. 2020,
