Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V24-109,,,,2.125,2.125,,,,,,2.125,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.15,2.15,,,,,,2.15,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.175,2.175,,,,,,2.175,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.2,2.2,,,,,,2.2,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.225,2.225,,,,,,2.225,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.25,2.25,,,,,,2.25,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.275,2.275,,,,,,2.275,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.3,2.3,,,,,,2.3,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.325,2.325,,,,,,2.325,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.35,2.35,,,,,,2.35,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.375,2.375,,,,,,2.375,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.4,2.4,,,,,,2.4,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.425,2.425,,,,,,2.425,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.45,2.45,,,,,,2.45,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.475,2.475,,,,,,2.475,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.5,2.5,,,,,,2.5,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.525,2.525,,,,,,2.525,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.55,2.55,,,,,,2.55,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.575,2.575,,,,,,2.575,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.6,2.6,,,,,,2.6,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.65,2.65,,,,,,2.65,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.675,2.675,,,,,,2.675,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.7,2.7,,,,,,2.7,depth model from Peterson and Lisiecki 2018,
V24-109,,,,2.725,2.725,,,,,,2.725,depth model from Peterson and Lisiecki 2018,
