Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
V26-176_b,,1.29,0.79,2.63,0.79,2.63,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.4,2.02,2.245,2.02,2.245,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.4,1.23,2.81,1.23,2.81,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.4,2.81,1.68,2.81,1.68,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.45,1.01,2.46,1.01,2.46,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.5,1.08,2.61,1.08,2.61,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.6,1.11,2.57,1.11,2.57,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.69,1.33,2.95,1.33,2.95,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,1.8,0.95,2.74,0.95,2.74,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.01,0.74,3.31,0.74,3.31,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.11,0.84,3.33,0.84,3.33,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.2,0.4,3.45,0.4,3.45,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.3,0.66,3.5,0.66,3.5,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.39,0.6,3.2,0.6,3.2,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,2.62,0.08,3.53,0.08,3.53,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,3.2,0.6,3.51,0.6,3.51,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,3.47,0.03,4.01,0.03,4.01,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,3.71,0.52,4.17,0.52,4.17,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,3.81,0.9,3.56,0.9,3.56,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,3.92,0.18,4.05,0.18,4.05,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,4.28,0.55,3.76,0.55,3.76,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,4.69,0.35,3.45,0.35,3.45,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,4.79,0.17,3.7,0.17,3.7,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,4.98,1.15,2.61,1.15,2.61,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,5.08,0.24,3.69,0.24,3.69,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,5.18,0.31,3.77,0.31,3.77,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,5.32,0.63,4.07,0.63,4.07,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
V26-176_b,,5.43,-0.51,3.99,-0.51,3.99,,,,Cibicidoides wuellerstorfi/Cibicidoides kullenbergi,1,,,,,Repschlaeger et al. 2021 compilation,"Curry, William B; Duplessy, Jean-Claude; Labeyrie, Laurent D; Shackleton, Nicholas J (1988):(Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.52278; age model (CLIMAP Project Members (2004): Radiocarbon age determinations on sediment core V26-176. PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",,"PANGAEA, https://doi.org/10.1594/PANGAEA.52278, age model: PANGAEA, https://doi.org/10.1594/PANGAEA.186283)",1
