Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB16224-1,,0.76,0.85,3.73,0.85,3.73,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.78,1.08,3.73,1.08,3.73,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.8,0.8,3.77,0.8,3.77,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.82,0.83,3.25,0.83,3.25,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.86,1.01,3.74,1.01,3.74,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.9,0.63,3.44,0.63,3.44,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.94,0.93,3.43,0.93,3.43,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,0.96,0.99,3.67,0.99,3.67,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.08,0.36,2.69,0.36,2.69,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.1,0.57,3.79,0.57,3.79,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.14,0.29,3.49,0.29,3.49,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.2,0.13,3.68,0.13,3.68,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.24,0.07,4.07,0.07,4.07,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.26,0.09,3.84,0.09,3.84,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.3,0.18,3.63,0.18,3.63,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.32,0.17,3.97,0.17,3.97,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
GeoB16224-1,,1.38,0.12,4.41,0.12,4.41,1-5,125,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Voigt, Ines; Cruz, Anna Paula Soares; Mulitza, Stefan; Chiessi, Cristiano Mazur; Mackensen, Andreas; Lippold, J�rg; Antz, Benny; Zabel, Matthias; Zhang, Yancheng; Barbosa, Catia F; Tisserand, Amandine (2017): (Supplementary Table 1) Stable isotopes of sediment core GeoB16224-1. PANGAEA, https://doi.org/10.1594/PANGAEA.875796,",,"https://doi.org/10.1594/PANGAEA.875796,",1
