Site,Sample Label,archival_depth (m),d13C (PDB),d18O (PDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
CH82-20PC,,0.63,0.66,3.71,0.66,3.71,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.65,0.55,4.02,0.55,4.02,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.69,0.94,4.32,0.94,4.32,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.71,0.85,4.26,0.85,4.26,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.73,0.68,4.04,0.68,4.04,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.75,0.61,4.13,0.61,4.13,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.77,0.71,4.14,0.71,4.14,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.79,0.91,4.4,0.91,4.4,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.83,0.73,4.35,0.73,4.35,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.87,0.77,4.32,0.77,4.32,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.89,0.63,4.46,0.63,4.46,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.93,0.87,4.23,0.87,4.23,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.97,1.1,4.1,1.1,4.1,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.99,0.725,4.275,0.725,4.275,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.99,0.72,4.19,0.72,4.19,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.99,0.73,4.36,0.73,4.36,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,1.01,0.78,4.34,0.78,4.34,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,1.03,1.07,4.4,1.07,4.4,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
