Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,
SO82-5-2,,0.625,0.93,2.92,0.93,2.92,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.65,1.26,3.31,1.26,3.31,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.675,0.92,3.01,0.92,3.01,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.71,0.93,3.44,0.93,3.44,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.75,0.85,3.38,0.85,3.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.775,0.74,3.22,0.74,3.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.83,0.68,3.14,0.68,3.14,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.91,0.78,3.52,0.78,3.52,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.92,0.68,3.28,0.68,3.28,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.925,0.68,3.28,0.68,3.28,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.95,1.6,4.4,1.6,4.4,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.975,1.69,4.46,1.69,4.46,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,0.98,1.69,4.46,1.69,4.46,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1,1.76,4.38,1.76,4.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.01,1.74,4.45,1.74,4.45,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.05,1.69,4.45,1.69,4.45,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.075,1.74,4.42,1.74,4.42,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.08,1.74,4.42,1.74,4.42,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.15,1.72,4.32,1.72,4.32,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.175,1.83,4.49,1.83,4.49,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.18,1.83,4.49,1.83,4.49,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.23,1.7,4.41,1.7,4.41,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.25,1.76,4.4,1.76,4.4,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.3,1.74,4.38,1.74,4.38,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.33,1.65,4.6,1.65,4.6,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.35,1.75,4.24,1.75,4.24,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.37,0.95,3.99,0.95,3.99,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.5,1.12,3.43,1.12,3.43,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.52,1.14,3.82,1.14,3.82,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
SO82-5-2,,1.525,1.14,3.82,1.14,3.82,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Cannot get citation for doi: 10.2312/reports-sfb313.1996.61, probably a report. AND Van Kreveld, S., Sarnthein, M., Erlenkeuser, H., Grootes, P., Jung, S., Nadeau, M. J., Pflaumann, U. and Voelker, A.: Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger Cycles in the Irminger Sea, 60-18 Kyr, Paleoceanography, 15(4), 425–442, doi:10.1029/1999pa000464, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.201812, https://doi.pangaea.de/10.1594/PANGAEA.261313,1
