Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
MD01-2420,41,3.9621,-0.4183,3.85,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,42,3.9863,-0.2683,3.867,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,44,4.0347,-0.2883,3.929,,,5,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,47,4.1073,-0.3863,3.926,,,4,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,48,4.1315,-0.5198,3.884,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,49,4.1557,-0.3628,3.709,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,54,4.2767,-0.3498,3.915,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,11,4.75355,-0.2788,4.422,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,19,4.95435,-0.4588,4.309,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,22,5.0289,-0.3393,4.387,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,38,5.42325,-0.4593,4.428,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,42,5.5216,-0.3983,4.323,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,52,5.7656,-0.3348,4.327,,,1,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,56,5.8632,-0.6663,4.478,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,59,5.9364,-0.5243,4.489,,,4,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,62,5.9985,-0.8708,4.38,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,9,6.20425,-0.8503,4.349,,,3,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
MD01-2420,16,6.3741,-1.0338,4.304,,,2,,,Cibicidoides Wuellerstorfi,1,,,,,,"Sagawa, T., K. Toyoda, and T. Oba, Sea surface temperature record off central Japan since the Last Glacial Maximum using planktonic foraminiferal Mg/Ca thermometry, Journal of Quaternary Science, 21, 63-73, 2006.; Okazaki, Y., T. Sagawa, H. Asahi, K. Horikawa and J. Onodera, Ventilation changes in the western North Pacific since the last glacial period, Climate of the Past 8, 17-24, 2012.",MD012420_Cibicidoides_isotopes_OC3.xls,,1
