Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
MD01-2420,,2.1907,7810,8447,7118,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2007,7846,8481,7155,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2107,7882,8507,7204,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2207,7917,8524,7260,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2307,7953,8550,7310,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2407,7988,8581,7353,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2507,8024,8613,7393,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2607,8060,8635,7468,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2707,8097,8661,7528,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2807,8134,8694,7579,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.2907,8170,8725,7632,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3007,8207,8761,7670,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3107,8243,8789,7730,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3207,8279,8815,7778,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3307,8315,8845,7819,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3407,8351,8882,7852,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3507,8387,8923,7884,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3607,8420,8952,7918,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3707,8454,8986,7959,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3807,8487,9024,7985,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.3907,8521,9072,8009,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4007,8554,9133,8032,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4107,8588,9157,8072,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4207,8621,9188,8101,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4307,8655,9223,8124,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4407,8688,9264,8152,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4507,8722,9308,8175,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4607,8756,9346,8215,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4707,8790,9379,8241,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4807,8824,9413,8280,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.4907,8859,9465,8307,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5007,8893,9509,8329,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5107,8925,9533,8364,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5207,8958,9564,8394,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5307,8991,9596,8420,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5407,9024,9634,8443,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5507,9057,9675,8466,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5607,9090,9698,8504,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5707,9124,9730,8530,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
MD01-2420,,2.5807,9157,9770,8563,,,3,Age model calculate with BACON by Lorraine Lisiecki,,1
