Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
OCE205-2-100GGC,,0.27,1.325,,1.325,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.27,1.27,,1.27,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.27,1.38,,1.38,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.29,1.21,,1.21,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.29,1.38,,1.38,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.29,1.68,,1.68,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.29,1.423,,1.423,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.44,,1.44,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.57,,1.57,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.45,,1.45,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.61,,1.61,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.22,,1.22,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.3,1.41,,1.41,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.31,1.42,,1.42,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.31,1.56,,1.56,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.31,1.49,,1.49,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.32,1.3,,1.3,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.32,1.263,,1.263,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
OCE205-2-100GGC,,0.32,1.2,,1.2,,,,,Cibicidoides spp.,7,,,,,Repschlaeger et al. 2021 compilation,Slowey and Curry (1995); Came et al. (2008),,https://www.ncdc.noaa.gov/paleo/study/8720,1
