Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB4240-2,,0.98,0.51,2.89,0.51,2.89,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,1.23,1.03,3.72,1.03,3.72,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,1.43,1.1,3.53,1.1,3.53,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,1.73,0.65,3.9,0.65,3.9,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,1.93,1.05,3.91,1.05,3.91,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.03,1.27,3.91,1.27,3.91,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.13,1.3,3.78,1.3,3.78,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.33,1.21,3.79,1.21,3.79,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.43,0.84,3.65,0.84,3.65,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.53,0.9,3.65,0.9,3.65,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.63,0.97,3.47,0.97,3.47,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.73,0.71,3.51,0.71,3.51,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.83,1.04,3.43,1.04,3.43,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,2.93,0.67,3.38,0.67,3.38,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.03,0.74,3.6,0.74,3.6,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.13,0.84,3.49,0.84,3.49,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.23,1.2,3.23,1.2,3.23,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.33,1.14,3.35,1.14,3.35,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.43,1.04,3.45,1.04,3.45,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.53,1.24,3.26,1.24,3.26,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.63,0.92,3.33,0.92,3.33,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.73,0.96,3.34,0.96,3.34,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.83,1.15,3.23,1.15,3.23,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,3.93,1.06,3.3,1.06,3.3,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.03,1.04,3.43,1.04,3.43,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.13,0.99,3.24,0.99,3.24,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.23,0.96,3.23,0.96,3.23,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.33,0.92,3.29,0.92,3.29,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.43,0.89,3.31,0.89,3.31,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.53,0.93,3.13,0.93,3.13,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.63,0.98,3.02,0.98,3.02,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.73,0.94,3.11,0.94,3.11,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.83,0.96,2.86,0.96,2.86,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,4.93,0.8,2.89,0.8,2.89,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.03,0.8,3.24,0.8,3.24,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.13,1.37,3.57,1.37,3.57,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.23,0.95,3.51,0.95,3.51,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.33,1.04,3.06,1.04,3.06,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.43,0.99,3.28,0.99,3.28,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.53,1.02,3.15,1.02,3.15,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.63,0.99,2.87,0.99,2.87,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.73,1.22,2.7,1.22,2.7,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,5.83,0.98,2.57,0.98,2.57,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,6.03,1.28,2.71,1.28,2.71,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,6.13,1.23,2.56,1.23,2.56,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,6.23,0.79,2.84,0.79,2.84,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
GeoB4240-2,,6.53,0.16,2.41,0.16,2.41,3-6,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Freudenthal, Tim; Meggers, Helge; Henderiks, Jorijntje; Kuhlmann, Holger; Moreno, Ana; Wefer, Gerold (2002): Upwelling intensity and filament activity off Morocco during the last 250,000 years. Deep Sea Research Part II: Topical Studies in Oceanography, 49(17), 3655-3674, doi:10.1016/S0967-0645(02)00101-7",,NaN,1
