Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
GeoB1711,12.633,-25.533,1967.0,2.13,22796.0,0.53,4.45,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.18,23488.0,0.17,4.28,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.23,24046.0,0.1,4.55,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.28,24725.0,0.38,4.27,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.33,25433.0,-0.1,4.21,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.38,26591.0,0.2,4.31,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.43,27518.0,0.18,4.25,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.48,28345.0,0.15,4.16,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.53,29034.0,0.11,4.08,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.58,29642.0,0.19,4.02,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.63,30210.0,-0.01,3.86,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.68,30748.0,0.3,4.11,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.73,31251.0,0.11,4.08,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.78,31756.0,0.12,3.91,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.83,32278.0,0.2,3.87,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.88,32827.0,-0.03,3.72,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.93,33555.0,0.09,3.91,1.0,1
GeoB1711,12.633,-25.533,1967.0,2.98,34338.0,0.18,4.05,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.03,35119.0,0.22,3.8,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.08,35848.0,0.25,3.93,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.13,36567.0,0.23,3.84,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.18,37287.0,-0.04,3.86,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.23,38031.0,0.28,3.76,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.28,38779.0,0.21,3.6,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.33,39534.0,0.18,3.7,1.0,1
GeoB1711,12.633,-25.533,1967.0,3.38,39606.0,-0.02,3.41,1.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.008,629.0,0.8,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.083,961.8,0.86,1.81,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.323,1998.4,0.88,1.84,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.483,2669.3,0.93,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.563,3185.7,0.91,1.76,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.643,3732.7,0.98,1.74,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.723,4286.7,0.93,1.86,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.803,4842.0,1.09,1.72,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.883,5400.0,0.97,1.77,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,0.963,5956.7,0.94,1.83,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.038,6480.0,0.9,1.76,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.123,7064.7,0.72,1.72,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.203,7380.5,0.595,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.283,7655.4,0.55,1.91,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.363,7991.799999999999,0.87,1.88,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.443,8373.0,0.45,1.87,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.523,8568.6,0.51,2.06,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.663,8864.300000000001,0.52,2.11,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.763,9078.6,0.38,2.05,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.843,9269.8,0.59,2.04,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,1.923,9488.4,0.16,2.08,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.083,9974.6,0.37,2.0,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.163,10212.2,0.22,1.95,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.323,10329.8,0.28,2.03,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.403,10379.1,0.22,2.03,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.483,10428.8,0.04,2.06,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.563,10479.4,0.42,2.09,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.643,10538.4,0.13,1.85,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.723,10599.4,0.22,2.0,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.803,10649.2,0.48,2.26,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.883,10684.5,0.08,1.84,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,2.963,10719.5,0.21,2.05,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.043,10756.2,0.29,2.09,4.0,1
