Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK17049_6,,2.75,1.19,4.1,1.19,4.1,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.775,0.84,4.04,0.84,4.04,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.8,0.78,3.97,0.78,3.97,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.825,0.97,4.09,0.97,4.09,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.875,1.06,4.14,1.06,4.14,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.9,0.83,4.06,0.83,4.06,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.925,0.81,4.16,0.81,4.16,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.95,0.98,4.17,0.98,4.17,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.975,0.94,3.94,0.94,3.94,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,2.99,0.76,3.82,0.76,3.82,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.025,0.99,3.86,0.99,3.86,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.05,1.12,3.93,1.12,3.93,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.075,1.07,4.15,1.07,4.15,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.1,0.68,3.45,0.68,3.45,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.125,1.04,3.93,1.04,3.93,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
