Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,,,,,,,,,,,,,,
ODP-202-1242,,0.01,-0.93,5.08,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.05,-1.1,4.81,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.09,-1.01,4.95,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.13,-1.23,4.92,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.17,-0.88,5,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.21,-1.24,4.77,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.25,-0.93,4.98,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.29,-1.08,4.7,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.33,-0.87,4.69,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.37,-1.21,4.67,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
