Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SHAK-03-6K,,0.24,1899.5,,,2935.15,866.6,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.26,2056,,,3067.1,974.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.28,2199.5,,,3115.2,1089.425,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.3,2340.5,,,3194.175,1229.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.32,2493.5,,,3263.05,1389.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.34,2645,,,3328.275,1531.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.36,2798.5,,,3384,1709.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.38,2969,,,3424.125,1878.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.4,3139.5,,,3471.15,2191.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.42,3310,,,3513.025,2554.65,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.44,3516,,,4109.7,3252.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.46,3938,,,5500.275,3562.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.48,4337,,,6028.6,3649.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.5,4688.5,,,6427.3,3736.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.52,5012.5,,,6821.675,3854.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.54,5393,,,7072.9,3995.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.56,5741,,,7309.075,4143.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.58,6101,,,7443.05,4338,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.6,6434.5,,,7579.05,4591.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.62,6769.5,,,7665.025,5077.575,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.64,7120,,,7748.025,5435.625,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.66,7492,,,7833,5983.65,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.68,7883,,,8275.525,7485.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.7,8163,,,9455.175,7910.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.72,8411.5,,,9810.5,7967.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.74,8654,,,10150.225,8024.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.76,8899.5,,,10469.4,8079.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.78,9107.5,,,10718.55,8159.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.8,9359.5,,,10894.025,8259.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.82,9596,,,11033.875,8367.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.84,9853,,,11193.325,8496.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.86,10085.5,,,11346.25,8704.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.88,10319.5,,,11487.625,8855.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.9,10555.5,,,11617.15,9088.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.92,10814,,,11730.4,9406.15,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.94,11068.5,,,11819.25,9747.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.96,11334,,,11893.125,10050,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,0.98,11587,,,12014.125,10493.175,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1,11897,,,12342,11368.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.02,12103.5,,,12654.15,11742,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.04,12261.5,,,12820.075,11861.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.06,12409.5,,,12939.025,11943.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.08,12550,,,13037,12041.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.1,12693.5,,,13093.075,12162.6,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.12,12854.5,,,13146.1,12295.575,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.14,13012,,,13217,12455.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.16,13189,,,13453.025,12973.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.18,13372,,,13911,13189.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.2,13522,,,14115.025,13264.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.22,13677,,,14246.05,13315.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.24,13834,,,14353.25,13378.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.26,13975.5,,,14434.025,13476.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.28,14126.5,,,14521.2,13572.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.3,14274,,,14609.05,13737.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.32,14481.5,,,14734.125,14178.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.34,14603,,,14859.15,14324.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.36,14687.5,,,14935.05,14376.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.38,14756,,,15002.05,14429.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.4,14822.5,,,15064.025,14505.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.42,14891.5,,,15088.025,14565.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.44,14960,,,15116,14639.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.46,15041,,,15142,14739.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.48,15129,,,15232.025,15024,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.5,15207,,,15386.15,15117.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.52,15268,,,15449.025,15151.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.54,15331,,,15493.075,15182,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.56,15393,,,15532.025,15215.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.58,15454,,,15564,15279.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.6,15534,,,15623,15422.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.62,15623,,,15717.075,15534.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.64,15719,,,15837.025,15609.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.66,15770.5,,,15923,15660.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.68,15804,,,15970.025,15687.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.7,15837.5,,,16013.075,15709.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.72,15871.5,,,16049,15728.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.74,15906,,,16075,15757.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.76,15940,,,16103,15786.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.78,15974,,,16127.025,15814.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.8,16008,,,16150.225,15845,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.82,16044.5,,,16179,15908.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.84,16218,,,16539.225,16080,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.86,16473.5,,,17147.15,16230,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.88,16688,,,17381.1,16315,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.9,16919,,,17482.075,16415.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.92,17138.5,,,17571.05,16545.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.94,17359,,,17667.025,16753.35,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.96,17615,,,17841.05,17258.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,1.98,17855,,,18053.025,17629.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2,18090.5,,,18370.575,17892.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.02,18311,,,18969.325,18057.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.04,18478,,,19235.2,18120.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.06,18639,,,19402.25,18186.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.08,18817.5,,,19547,18270.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.1,18990.5,,,19668.05,18347.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.12,19167,,,19766,18426.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.14,19333,,,19831.05,18574.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.16,19511,,,19884,18778.25,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.18,19684,,,19954,19032,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.2,19893,,,20172.075,19598,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.22,20088,,,20712.125,19811.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.24,20233,,,20997.7,19869,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.26,20388,,,21125.025,19932.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.28,20542.5,,,21263.325,19991.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.3,20666.5,,,21364.025,20083.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.32,20796.5,,,21453.05,20156.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.34,20932.5,,,21524.475,20237.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.36,21079,,,21609.2,20316.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.38,21230,,,21679,20470.8,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.4,21368,,,21718.075,20605.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.42,21518,,,21761.025,20929.475,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.44,21713,,,21928.325,21425.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.46,21902,,,22383.3,21655.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.48,22055,,,22559.125,21761.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.5,22213.5,,,22695.075,21832,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.52,22375,,,22793,21923,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.54,22531,,,22874.2,22095.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.56,22765,,,23289.425,22454.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.58,23097,,,24322.25,22638.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.6,23368.5,,,24964.85,22736.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.62,23603.5,,,25389.7,22804.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.64,23874,,,25893,22871.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.66,24112,,,26097.1,22957.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.68,24308,,,26265.8,23086.45,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.7,24538.5,,,26610.25,23114.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.72,24764.5,,,26970.175,23190.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.74,25022,,,27210.675,23316.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.76,25250,,,27593.1,23418.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.78,25472,,,27766.2,23558.375,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.8,25696,,,27947.3,23686.6,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.82,25930.5,,,28223.35,23818.55,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.84,26138,,,28511.05,23960.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.86,26350.5,,,28679.325,24212.5,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.88,26610.5,,,28899.5,24499.35,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.9,26859.5,,,29110.375,24678.625,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.92,27057,,,29282.575,24917.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.94,27320,,,29514.45,25069.525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.96,27547,,,29716.675,25222.55,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,2.98,27816,,,29832.05,25395.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3,28050.5,,,29964.975,25623.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.02,28262.5,,,30136.175,25852.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.04,28498.5,,,30395.225,26123.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.06,28735,,,30527.025,26434.6,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.08,28957,,,30648.725,26563.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.1,29216.5,,,30803.075,26811.475,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.12,29426.5,,,30894.4,27096.65,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.14,29650.5,,,30986.25,27386.675,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.16,29917,,,31068.125,27921.575,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.18,30145,,,31143.35,28240.525,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.2,30371.5,,,31240.05,28620.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.22,30632,,,31321.275,28888.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.24,30879.5,,,31419.025,29477.225,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.26,31138.5,,,31556.025,30166.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.28,31703,,,32310.05,31337.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.3,31934.5,,,32668,31504.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.32,32055,,,32874.525,31564.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.34,32183.5,,,33048.275,31617,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.36,32300,,,33207.15,31663.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.38,32420,,,33323.2,31706.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.4,32526,,,33455.35,31776.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.42,32621.5,,,33588.2,31873.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.44,32718,,,33657.5,31939.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.46,32852.5,,,33792.075,32015.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.48,32954.5,,,33934.075,32107.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.5,33059,,,33996.15,32210.75,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.52,33185,,,34067.025,32298.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.54,33294,,,34139.125,32385.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.56,33405,,,34206.125,32491.65,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.58,33525,,,34294.05,32622,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.6,33624,,,34409.375,32722.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.62,33746,,,34495.025,32872.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-03-6K,,3.64,33874,,,34581.025,32969.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
