Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GeoB9526,,0.95,9807.5146484375,,,11081.9130859375,8275.9130859375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.96,9914.0595703125,,,11164.892578125,8396.892578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.97,10020.609375,,,11268.873046875,8517.873046875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.98,10127.1318359375,,,11393.6123046875,8615.6123046875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,0.99,10225.787109375,,,11461.796875,8733.796875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1,10322.5419921875,,,11520.29296875,8858.29296875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.01,10419.3046875,,,11582.3369140625,8957.3369140625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.02,10516.0869140625,,,11663.9892578125,9060.9892578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.03,10612.853515625,,,11752.640625,9148.640625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.04,10708.931640625,,,11822.9521484375,9285.9521484375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.05,10804.8720703125,,,11881.755859375,9420.755859375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.06,10900.763671875,,,11942.560546875,9534.560546875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.07,10996.69140625,,,12020.3642578125,9646.3642578125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.08,11092.6259765625,,,12121.16796875,9732.16796875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.09,11192.1435546875,,,12168.3349609375,9884.3349609375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.1,11292.6591796875,,,12220.4365234375,10044.4365234375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.11,11393.1435546875,,,12278.537109375,10194.537109375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.12,11493.6845703125,,,12346.296875,10317.296875,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.13,11594.185546875,,,12430.9052734375,10421.9052734375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.14,11699.625,,,12485.4833984375,10620.4833984375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.15,11806.4599609375,,,12526.62890625,10847.62890625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.16,11913.28515625,,,12577.775390625,11032.775390625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.17,12020.1259765625,,,12638.9208984375,11173.9208984375,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.18,12126.9990234375,,,12723.06640625,11293.06640625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.19,12235.64453125,,,12763.4541015625,11508.4541015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.2,12344.875,,,12802.8291015625,11768.8291015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.21,12454.060546875,,,12833.2041015625,12000.2041015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.22,12563.328125,,,12884.5791015625,12198.5791015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.23,12672.5068359375,,,12948.9541015625,12340.9541015625,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.24,12779.7060546875,,,13005.9970703125,12536.9970703125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.25,12886.267578125,,,13083.5439453125,12721.5439453125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.26,12992.806640625,,,13209.0908203125,12781.0908203125,3,Age model from Jonkers et al. (2020),,1
GeoB9526,,1.27,13099.341796875,,,13425.6376953125,12825.6376953125,3,Age model from Jonkers et al. (2020),,1
