Site,Sample Label,archival-depth (m),d13C (VPDB),d18O (VPDB),d13C-corrected (PDB),d18O-corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon-flag,Taxon-note1,Taxon-note2,Taxon-note3,Additional-note,Publication source,Original Reference,File Name,Data source,quality control
KNR166-2-29JPC,,0.8025,0.6,2.32,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8225,0.67,2.33,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8225,0.89,2.12,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8225,0.44,2.23,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8425,0.5,2.28,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8625,0.53,2.34,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8625,0.15,2.38,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8625,0.46,2.5,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.8825,0.54,2.34,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9025,0.28,2.39,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
