Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,
MD97-2121,,10.5,-0.38,3.89,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,11,-1.17,4.22,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,16,-0.49,3.98,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,16.5,-0.99,4.05,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,18,-0.67,4.14,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,19.5,-0.4,3.66,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,20,-0.39,3.37,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,20.5,-0.45,3.44,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,21,-0.55,3.34,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,22.5,-0.63,3.61,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,23.5,-0.73,3.56,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,24.5,-0.68,3.46,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,25,-0.21,3.43,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,31.56,-0.19,3.06,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,32.16,-0.17,3.42,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,32.5,-0.12,3.47,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,32.88,-0.71,3.84,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
MD97-2121,,33,-1.14,3.99,,,,,,Cibicidoides spp.,7,,,,,"Sikes, E. L., Schiraldi, B., Jr, & Williams, A. (2019) https://doi.org/10.1029/2019PA003649",1
