Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK16004,,1.205,1.1,3.59,1.1,3.59,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.305,1.22,3.68,1.22,3.68,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.405,0.97,3.42,0.97,3.42,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.505,1.16,3.64,1.16,3.64,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.605,1.19,3.4,1.19,3.4,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.695,1.16,3.55,1.16,3.55,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.805,1.05,3.37,1.05,3.37,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,1.905,0.68,3.39,0.68,3.39,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.005,0.95,3.32,0.95,3.32,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
GIK16004,,2.105,1.11,3.39,1.11,3.39,7-10,315,400,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Sarnthein, Michael; Winn, Kyaw; Jung, Simon J A; Duplessy, Jean-Claude; Labeyrie, Laurent D; Erlenkeuser, Helmut; Ganssen, Gerald M(1994): Changes in east Atlantic deepwater circulation over the last 30,000 years: Eight time slice reconstructions. Paleoceanography, 9(2), 209-267, https://doi.org/10.1029/93PA03301",,"Sarnthein, Michael (1994): Stable isotope analysis on sediment core GIK16004. PANGAEA, https://doi.org/10.1594/PANGAEA.54371",1
