Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GeoB7920-2,,1.03,0.79,2.75,0.79,2.75,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.08,0.67,2.7,0.67,2.7,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.13,0.59,2.7,0.59,2.7,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.18,0.8,2.85,0.8,2.85,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.23,0.59,2.78,0.59,2.78,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.28,0.77,2.83,0.77,2.83,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.33,0.69,2.77,0.69,2.77,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.38,0.42,2.87,0.42,2.87,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.43,0.66,3.09,0.66,3.09,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
GeoB7920-2,,1.48,0.63,2.83,0.63,2.83,250,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Tjallingii, Rik (2008): Stable isotope record of Cibicidoides wuellerstorfi of sediment core GeoB7920-2. PANGAEA, https://doi.org/10.1594/PANGAEA.705109, Collins, James A; Schefu, Enno; Heslop, David; Prange, Matthias; Zabel, Matthias; Tjallingii, Rik; Dokken, Trond; Huang, Enqing; Mackensen, Andreas; Schulz, Michael; Tian, Jun; Zarriess, Michelle; Wefer, Gerold (2011): Age models of sediment cores GeoB7920-2 and GeoB9535-4. PANGAEA, https://doi.org/10.1594/PANGAEA.757419",,"PANGAEA, https://doi.org/10.1594/PANGAEA.705109; PANGAEA, https://doi.org/10.1594/PANGAEA.757419,",1
