Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GeoB1515-1,,,,5.63,5.63,,,,,,5.63,,
GeoB1515-1,,,,5.68,5.68,,,,,,5.68,,
GeoB1515-1,,,,5.78,5.78,,,,,,5.78,,
GeoB1515-1,,,,5.88,5.88,,,,,,5.88,,
GeoB1515-1,,,,5.93,5.93,,,,,,5.93,,
GeoB1515-1,,,,5.98,5.98,,,,,,5.98,,
GeoB1515-1,,,,6.03,6.03,,,,,,6.03,,
GeoB1515-1,,,,6.08,6.08,,,,,,6.08,,
GeoB1515-1,,,,6.13,6.13,,,,,,6.13,,
GeoB1515-1,,,,6.18,6.18,,,,,,6.18,,
GeoB1515-1,,,,6.23,6.23,,,,,,6.23,,
GeoB1515-1,,,,6.28,6.28,,,,,,6.28,,
GeoB1515-1,,,,6.33,6.33,,,,,,6.33,,
GeoB1515-1,,,,6.38,6.38,,,,,,6.38,,
GeoB1515-1,,,,6.43,6.43,,,,,,6.43,,
GeoB1515-1,,,,6.48,6.48,,,,,,6.48,,
GeoB1515-1,,,,6.53,6.53,,,,,,6.53,,
