# NOAA Paleoclimatology Program - Paleocean Site Data
# m952042s-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicholas J. Shackleton
# Core/Site:      MD952042
# Latitude:       37.48.00N	( 37.8)
# Longitude:      10.10.00W	( -10.16667)
# Water Depth(m): 3146
#
# Publications:
#   Shackleton, N.J., M.A. Hall, and E. Vincent. 2000. Phase relationships between
#     millennial scale events 64000 to 24000 years ago. Paleoceanography 15(6):565.
#------------------
#
# Description & Notes:
#   MD952042 High Resolution Oxygen and Carbon Isotope Data.
#   Data precision: better than .1 per mil. Chronostratigraphic information: direct
#   AMS and match to coral ages for events; GRIP Date of data generation: 1996. Please
#   note: tuning to GISP2 60-75 ka (GISP-matched agemod,
revised June 2002 at 68.72
#   ka)
#
# Variables:
#             depth         Depth (cm)
#             yrBP GRIP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             yrBP GISP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Ch.eleg    delta C13 PDB (Hoeglundina elegans)
#             d18Ocwuell_corr             delta O18 PDB (benthic foraminifers) corrected to compare with Uvigerina spp.
#             d18Oh.eleg    delta O18 PDB (Hoeglundina elegans)
#             d13Cp.wuell   delta C13 PDB (Planulina wuellerstorfi)
#             d18Op.wuell   delta O18 PDB (Planulina wuellerstorfi)
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d13Cg.affin   delta C13 PDB (Globobulimina affinis)
#             d18Og.affin   delta O18 PDB (Globobulimina affinis)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d13Cu.pereg   delta C13 PDB (Uvigerina peregrina)
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             d13Cm.barle   delta C13 PDB (Melonis barleanum)
#             d18Om.barle   delta O18 PDB (Melonis barleanum)
#
# CORE: MD952042
depth	yrBP GRIP	yrBP GISP	d13Ch.eleg	d18Ocwuell_corr	d18Oh.eleg	d13Cp.wuell	d18Op.wuell	d13Cg.bull	d18Og.bull	d13Cg.affin	d18Og.affin	d13Ccibid	d18Ocibid	d13Cu.pereg	d18Ou.pereg	d13Cm.barle	d18Om.barle	notes
412	-999	-999	-999	4.18	-999	0.48	3.54	-999	-999	-999	-999	0.48	3.54	-999	-999	-999	-999	MD95-2042M99/5102
412	-999	-999	-999	4.18	-999	0.48	3.54	-999	-999	-999	-999	0.48	3.54	-999	-999	-999	-999	MD95-2042M99/5102
412	-999	-999	-999	-999	-999	-999	-999	-0.9	1.25	-999	-999	-999	-999	-999	-999	-999	-999	S99/3583
416	-999	-999	-999	4.19	-999	-999	-999	-999	-999	-2.06	4.49	-2.06	4.49	-999	-999	-999	-999	MD95-2042M99/5099
416	-999	-999	-999	4.24	-999	0.82	3.6	-999	-999	-999	-999	0.82	3.6	-999	-999	-999	-999	MD95-2042M99/5100
416	-999	-999	-999	-999	-999	-999	-999	-1.12	1.2	-999	-999	-999	-999	-999	-999	-999	-999	S99/3584
420	-999	-999	-999	4.25	-999	-999	-999	-999	-999	-2	4.55	-2	4.55	-999	-999	-999	-999	MD95-2042M99/1213
420	-999	-999	-999	-999	-999	-999	-999	-1.49	1.05	-999	-999	-999	-999	-999	-999	-999	-999	S95/3902
424	-999	-999	-999	4.13	-999	-999	-999	-999	-999	-2.2	4.43	-2.2	4.43	-999	-999	-999	-999	MD95-2042M99/5097
424	-999	-999	-999	4.13	-999	-999	-999	-999	-999	-2.2	4.43	-2.2	4.43	-999	-999	-999	-999	MD95-2042M99/5097
424	-999	-999	-999	4.1	-999	0.65	3.46	-999	-999	-999	-999	0.65	3.46	-999	-999	-999	-999	MD95-2042M99/5098
424	-999	-999	-999	-999	-999	-999	-999	-1.14	1.07	-999	-999	-999	-999	-999	-999	-999	-999	S99/3585
428	-999	-999	-999	4.14	-999	-999	-999	-999	-999	-2.2	4.44	-2.2	4.44	-999	-999	-999	-999	MD95-2042M99/5095
428	-999	-999	-999	4.14	-999	-999	-999	-999	-999	-2.2	4.44	-2.2	4.44	-999	-999	-999	-999	MD95-2042M99/5095
428	-999	-999	-999	4.12	-999	0.7	3.48	-999	-999	-999	-999	0.7	3.48	-999	-999	-999	-999	MD95-2042M99/5096
428	-999	-999	-999	4.12	-999	0.7	3.48	-999	-999	-999	-999	0.7	3.48	-999	-999	-999	-999	MD95-2042M99/5096
430	-999	-999	-999	4.04	-999	-999	-999	-999	-999	-2.24	4.34	-2.24	4.34	-999	-999	-999	-999	MD95-2042M99/1214
