Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS2561-2,,2.8,-0.0626,4.0548,-0.0626,4.0548,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,2.9,-0.5519,4.1564,-0.5519,4.1564,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.0,-0.6637,4.1315,-0.6637,4.1315,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.1,-0.3803,4.0792,-0.3803,4.0792,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.2,-0.3092,4.0816,-0.3092,4.0816,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.3,-0.2519,4.0323,-0.2519,4.0323,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.4,-0.4054,4.0855,-0.4054,4.0855,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.5,-0.3502,4.0465,-0.3502,4.0465,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.6,-0.2454,4.0493,-0.2454,4.0493,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.7,-0.3717,3.9651,-0.3717,3.9651,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.8,-0.5094,4.0378,-0.5094,4.0378,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,3.9,-0.5317,4.045,-0.5317,4.045,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.0,-0.3622,4.0369,-0.3622,4.0369,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
