Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V28-127,,,,3.815,3.815,,,,,,3.815,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.88,3.88,,,,,,3.88,depth model from Repschlaeger et al. 2021,
V28-127,,,,3.96,3.96,,,,,,3.96,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.04,4.04,,,,,,4.04,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.12,4.12,,,,,,4.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.2,4.2,,,,,,4.2,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.28,4.28,,,,,,4.28,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.36,4.36,,,,,,4.36,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.44,4.44,,,,,,4.44,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.52,4.52,,,,,,4.52,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.6,4.6,,,,,,4.6,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.67,4.67,,,,,,4.67,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.72,4.72,,,,,,4.72,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.76,4.76,,,,,,4.76,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.84,4.84,,,,,,4.84,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.92,4.92,,,,,,4.92,depth model from Repschlaeger et al. 2021,
V28-127,,,,4.96,4.96,,,,,,4.96,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.04,5.04,,,,,,5.04,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.12,5.12,,,,,,5.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.2,5.2,,,,,,5.2,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.24,5.24,,,,,,5.24,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.28,5.28,,,,,,5.28,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.36,5.36,,,,,,5.36,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.44,5.44,,,,,,5.44,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.48,5.48,,,,,,5.48,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.57,5.57,,,,,,5.57,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.68,5.68,,,,,,5.68,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.8,5.8,,,,,,5.8,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.84,5.84,,,,,,5.84,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.88,5.88,,,,,,5.88,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.9,5.9,,,,,,5.9,depth model from Repschlaeger et al. 2021,
V28-127,,,,5.96,5.96,,,,,,5.96,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.0,6.0,,,,,,6.0,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.04,6.04,,,,,,6.04,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.08,6.08,,,,,,6.08,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.12,6.12,,,,,,6.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.16,6.16,,,,,,6.16,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.2,6.2,,,,,,6.2,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.22,6.22,,,,,,6.22,depth model from Repschlaeger et al. 2021,
V28-127,,,,6.28,6.28,,,,,,6.28,depth model from Repschlaeger et al. 2021,
